data_inicio,nome,id_chamado
01/02,Santo Cristo,13
01/02,Santíssimo,24
01/02,Saúde,3
01/02,Senador Camará,34
01/02,Senador Vasconcelos,9
01/02,Sepetiba,14
01/02,São Conrado,3
01/02,São Cristóvão,19
01/02,São Francisco Xavier,4
01/02,Tanque,20
01/02,Taquara,84
01/02,Tauá,12
01/02,Tijuca,128
01/02,Todos os Santos,15
01/02,Tomás Coelho,5
01/02,Turiaçú,13
01/02,Urca,7
01/02,Vargem Grande,6
01/02,Vargem Pequena,7
01/02,Vaz Lobo,10
01/02,Vicente de Carvalho,61
01/02,Vidigal,3
01/02,Vigário Geral,8
01/02,Vila Isabel,66
01/02,Vila Kennedy,3
01/02,Vila Kosmos,4
01/02,Vila Militar,4
01/02,Vila Valqueire,28
01/02,Vila da Penha,59
01/02,Vista Alegre,15
01/02,Zumbi,3
01/02,Água Santa,3
01/03,Bancários,1
01/03,Barra da Tijuca,1
01/03,Botafogo,1
01/03,Campo Grande,2
01/03,Coelho Neto,1
01/03,Copacabana,3
01/03,Engenho da Rainha,1
01/03,Engenho de Dentro,2
01/03,Freguesia (Ilha),1
01/03,Freguesia (Jacarepaguá),1
01/03,Guadalupe,1
01/03,Gávea,1
01/03,Jacarepaguá,1
01/03,Jardim Sulacap,2
01/03,Leblon,2
01/03,Magalhães Bastos,3
01/03,Maracanã,1
01/03,Méier,1
01/03,Padre Miguel,1
01/03,Pavuna,1
01/03,Pechincha,1
01/03,Pedra de Guaratiba,1
01/03,Penha,1
01/03,Piedade,1
01/03,Ramos,3
01/03,Rocha,1
01/03,Santa Cruz,1
01/03,Sepetiba,1
01/03,São Cristóvão,1
01/03,Taquara,3
01/03,Tijuca,1
01/03,Todos os Santos,2
01/03,Turiaçú,1
01/03,Vargem Grande,1
01/03,Vargem Pequena,1
01/03,Vila Isabel,1
01/03,Vila Militar,1
01/03,Vila Valqueire,1
01/03,Vila da Penha,2
01/04,Bangu,2
01/04,Barra da Tijuca,5
01/04,Botafogo,1
01/04,Campo Grande,6
01/04,Cascadura,1
01/04,Catete,1
01/04,Cavalcanti,1
01/04,Centro,1
01/04,Encantado,1
01/04,Engenho da Rainha,5
01/04,Engenho de Dentro,8
01/04,Flamengo,1
01/04,Guadalupe,1
01/04,Guaratiba,1
01/04,Ipanema,2
01/04,Irajá,2
01/04,Itanhangá,1
01/04,Jacarepaguá,2
01/04,Lapa,2
01/04,Laranjeiras,1
01/04,Leblon,6
01/04,Olaria,1
01/04,Paciência,2
01/04,Pechincha,1
01/04,Penha,1
01/04,Realengo,1
01/04,Ricardo de Albuquerque,1
01/04,Santa Teresa,3
01/04,Saúde,1
01/04,Senador Vasconcelos,1
01/04,Tanque,1
01/04,Taquara,1
01/04,Tijuca,3
01/04,Vila Isabel,1
01/04,Vila da Penha,2
01/04,Vista Alegre,1
02/01,Abolição,8
02/01,Acari,1
02/01,Alto da Boa Vista,1
02/01,Anchieta,13
02/01,Andaraí,16
02/01,Anil,12
02/01,Bancários,4
02/01,Bangu,63
02/01,Barra da Tijuca,95
02/01,Barra de Guaratiba,4
02/01,Barros Filho,2
02/01,Benfica,6
02/01,Bento Ribeiro,79
02/01,Bonsucesso,13
02/01,Botafogo,50
02/01,Brás de Pina,11
02/01,Cachambi,26
02/01,Cacuia,8
02/01,Caju,6
02/01,Camorim,7
02/01,Campinho,12
02/01,Campo Grande,151
02/01,Cascadura,22
02/01,Catete,12
02/01,Cavalcanti,12
02/01,Centro,59
02/01,Cidade Nova,2
02/01,Cidade de Deus,4
02/01,Cocotá,2
02/01,Coelho Neto,8
02/01,Colégio,6
02/01,Complexo do Alemão,1
02/01,Copacabana,107
02/01,Cordovil,3
02/01,Cosme Velho,5
02/01,Cosmos,14
02/01,Costa Barros,5
02/01,Curicica,20
02/01,Del Castilho,13
02/01,Deodoro,1
02/01,Encantado,6
02/01,Engenheiro Leal,4
02/01,Engenho Novo,23
02/01,Engenho da Rainha,2
02/01,Engenho de Dentro,27
02/01,Estácio,4
02/01,Flamengo,21
02/01,Freguesia (Ilha),2
02/01,Freguesia (Jacarepaguá),24
02/01,Galeão,5
02/01,Gamboa,2
02/01,Gardênia Azul,2
02/01,Glória,11
02/01,Grajaú,12
02/01,Grumari,1
02/01,Guadalupe,13
02/01,Guaratiba,37
02/01,Gávea,9
02/01,Higienópolis,7
02/01,Honório Gurgel,11
02/01,Humaitá,12
02/01,Ilha de Guaratiba,6
02/01,Inhaúma,5
02/01,Inhoaíba,17
02/01,Ipanema,25
02/01,Irajá,20
02/01,Itanhangá,11
02/01,Jacarepaguá,15
02/01,Jacaré,3
02/01,Jardim América,8
02/01,Jardim Botânico,16
02/01,Jardim Carioca,8
02/01,Jardim Guanabara,15
02/01,Jardim Sulacap,16
02/01,Joá,10
02/01,Lagoa,6
02/01,Lapa,2
02/01,Laranjeiras,18
02/01,Leblon,18
02/01,Leme,20
02/01,Lins de Vasconcelos,5
02/01,Madureira,76
02/01,Magalhães Bastos,4
02/01,Mangueira,2
02/01,Manguinhos,3
02/01,Maracanã,22
02/01,Marechal Hermes,76
02/01,Maria da Graça,1
02/01,Maré,10
02/01,Moneró,2
02/01,Méier,31
02/01,Olaria,21
02/01,Osvaldo Cruz,49
02/01,Paciência,24
02/01,Padre Miguel,18
02/01,Parada de Lucas,4
02/01,Parque Anchieta,10
02/01,Parque Colúmbia,1
02/01,Pavuna,18
02/01,Pechincha,13
02/01,Pedra de Guaratiba,7
02/01,Penha,22
